Generation: 10
1, 9, -185, {'epochs': 194, 'units1': 298, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -561, {'epochs': 185, 'units1': 247, 'act1': 'linear', 'units2': 161, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 81, {'epochs': 50, 'units1': 73, 'act1': 'elu', 'units2': 100, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -194, {'epochs': 178, 'units1': 9, 'act1': 'elu', 'units2': 20, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 194, 'units1': 41, 'act1': 'tanh', 'units2': 180, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 20, -193, {'epochs': 177, 'units1': 221, 'act1': 'selu', 'units2': 119, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 216, {'epochs': 29, 'units1': 255, 'act1': 'selu', 'units2': 168, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 178, 'units1': 249, 'act1': 'linear', 'units2': 164, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 17, -196, {'epochs': 185, 'units1': 247, 'act1': 'linear', 'units2': 161, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 178, 'units1': 9, 'act1': 'elu', 'units2': 20, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 189, 'units1': 15, 'act1': 'elu', 'units2': 24, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 107, {'epochs': 276, 'units1': 31, 'act1': 'elu', 'units2': 115, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 194, 'units1': 41, 'act1': 'tanh', 'units2': 180, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 90, {'epochs': 178, 'units1': 250, 'act1': 'tanh', 'units2': 172, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
4, 270, 945, {'epochs': 207, 'units1': 46, 'act1': 'linear', 'units2': 184, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 19, -208, {'epochs': 191, 'units1': 158, 'act1': 'tanh', 'units2': 104, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 12, 311, {'epochs': 191, 'units1': 254, 'act1': 'tanh', 'units2': 168, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 20, -193, {'epochs': 180, 'units1': 3, 'act1': 'elu', 'units2': 26, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
